deployment_id,time,latitude,longitude,receiver_model,receiver_reference_id,array_name,project_reference,recovery_datetime_utc
,UTC,degrees_north,degrees_east,,,,,UTC
CBG_036-VR2W-110585-2017_11_17T08,2017-11-17T08:45:00Z,41.86689,-81.42189,VR2W,V2LGLFC_CBG_036,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_036-VR2W-112341-2016_06_21T18,2016-06-21T18:30:00Z,41.86631,-81.42204,VR2W,V2LGLFC_CBG_036,V2LGLFC,V2LGLFC,2017-06-07T16:45:47Z
CBG_037-VR2W-110596-2017_06_16T07,2017-06-16T07:02:00Z,41.86762,-81.23968,VR2W,V2LGLFC_CBG_037,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_037-VR2W-112413-2018_07_03T14,2018-07-03T14:15:00Z,41.80738,-81.24046,VR2W,V2LGLFC_CBG_037,V2LGLFC,V2LGLFC,
CBG_038-VR2W-112395-2017_06_16T13,2017-06-16T13:53:00Z,41.86731,-81.05884,VR2W,V2LGLFC_CBG_038,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_038-VR2W-119155-2018_07_03T13,2018-07-03T13:44:00Z,41.86695,-81.0596,VR2W,V2LGLFC_CBG_038,V2LGLFC,V2LGLFC,2018-12-11T08:27:00Z
CBG_038-VR2W-119155-2018_12_11T08,2018-12-11T08:32:00Z,41.86718,-81.06042,VR2W,V2LGLFC_CBG_038,V2LGLFC,V2LGLFC,
CBG_043-VR2W-110578-2018_07_03T10,2018-07-03T10:20:00Z,41.99425,-82.32832,VR2W,V2LGLFC_CBG_043,V2LGLFC,V2LGLFC,
CBG_043-VR2W-112407-2016_06_16T14,2016-06-16T14:13:00Z,41.99432,-82.32802,VR2W,V2LGLFC_CBG_043,V2LGLFC,V2LGLFC,2016-11-01T11:18:00Z
CBG_043-VR2W-112407-2016_11_01T11,2016-11-01T11:25:00Z,41.99453,-82.31167,VR2W,V2LGLFC_CBG_043,V2LGLFC,V2LGLFC,2017-06-05T15:59:05Z
CBG_043-VR2W-120180-2017_06_05T16,2017-06-05T16:00:31Z,41.9942,-82.3283,VR2W,V2LGLFC_CBG_043,V2LGLFC,V2LGLFC,2018-07-03T10:15:00Z
CBG_044-VR2W-112446-2017_06_05T15,2017-06-05T15:09:50Z,41.99661,-82.14656,VR2W,V2LGLFC_CBG_044,V2LGLFC,V2LGLFC,2018-07-03T11:08:00Z
CBG_045-VR2W-110580-2018_07_03T12,2018-07-03T12:00:00Z,41.99818,-81.96609,VR2W,V2LGLFC_CBG_045,V2LGLFC,V2LGLFC,
CBG_045-VR2W-110593-2017_06_05T14,2017-06-05T14:21:12Z,41.99814,-81.96606,VR2W,V2LGLFC_CBG_045,V2LGLFC,V2LGLFC,2018-07-03T11:50:00Z
CBG_046-VR2W-110561-2016_06_28T16,2016-06-28T16:37:00Z,41.99935,-81.78543,VR2W,V2LGLFC_CBG_046,V2LGLFC,V2LGLFC,2017-06-07T09:08:00Z
CBG_047-VR2W-110585-2016_06_22T09,2016-06-22T09:00:00Z,42.00042,-81.60371,VR2W,V2LGLFC_CBG_047,V2LGLFC,V2LGLFC,2017-06-07T13:28:17Z
CBG_047-VR2W-110595-2017_06_07T13,2017-06-07T13:28:27Z,42.00118,-81.604,VR2W,V2LGLFC_CBG_047,V2LGLFC,V2LGLFC,2018-06-08T09:55:00Z
CBG_048-VR2W-119784-2016_06_27T14,2016-06-27T14:10:00Z,42.00175,-81.42194,VR2W,V2LGLFC_CBG_048,V2LGLFC,V2LGLFC,2017-06-07T15:54:57Z
CBG_049-VR2W-110591-2017_06_16T07,2017-06-16T07:45:00Z,42.00313,-81.24025,VR2W,V2LGLFC_CBG_049,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_049-VR2W-112494-2016_06_27T15,2016-06-27T15:51:00Z,42.02862,-81.26255,VR2W,V2LGLFC_CBG_049,V2LGLFC,V2LGLFC,2016-07-12T08:17:00Z
CBG_049-VR2W-112494-2016_07_12T08,2016-07-12T08:27:00Z,42.00208,-81.24147,VR2W,V2LGLFC_CBG_049,V2LGLFC,V2LGLFC,2017-06-16T07:35:00Z
CBG_050-VR2W-112400-2016_07_12T09,2016-07-12T09:13:00Z,42.00227,-81.0604,VR2W,V2LGLFC_CBG_050,V2LGLFC,V2LGLFC,2017-06-16T13:02:00Z
CBG_050-VR2W-119154-2017_06_16T13,2017-06-16T13:08:00Z,42.00242,-81.05962,VR2W,V2LGLFC_CBG_050,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_050-VR2W-119154-2018_07_03T13,2018-07-03T13:16:00Z,42.00188,-81.06034,VR2W,V2LGLFC_CBG_050,V2LGLFC,V2LGLFC,
CBG_051-VR2W-106602-2016_07_12T09,2016-07-12T09:58:00Z,42.0022,-80.87932,VR2W,V2LGLFC_CBG_051,V2LGLFC,V2LGLFC,2017-06-16T12:24:00Z
CBG_052-VR2W-112394-2016_07_19T08,2016-07-19T08:19:00Z,42.00212,-80.69883,VR2W,V2LGLFC_CBG_052,V2LGLFC,V2LGLFC,2016-07-20T00:00:00Z
CBG_052-VR2W-112394-2016_08_24T12,2016-08-24T12:32:00Z,42.00178,-80.69798,VR2W,V2LGLFC_CBG_052,V2LGLFC,V2LGLFC,2016-10-25T15:15:00Z
CBG_052-VR2W-112394-2016_10_25T15,2016-10-25T15:21:00Z,42.00152,-80.69773,VR2W,V2LGLFC_CBG_052,V2LGLFC,V2LGLFC,2017-06-16T11:40:00Z
CBG_052-VR2W-119148-2017_06_16T11,2017-06-16T11:45:00Z,42.00136,-80.69572,VR2W,V2LGLFC_CBG_052,V2LGLFC,V2LGLFC,2018-06-07T10:25:00Z
CBG_054-VR2W-110596-2018_07_12T11,2018-07-12T11:55:00Z,42.12943,-82.33087,VR2W,V2LGLFC_CBG_054,V2LGLFC,V2LGLFC,
CBG_054-VR2W-119780-2016_06_22T14,2016-06-22T14:12:00Z,42.12982,-82.33069,VR2W,V2LGLFC_CBG_054,V2LGLFC,V2LGLFC,2016-11-01T12:09:00Z
CBG_054-VR2W-120179-2017_06_05T16,2017-06-05T16:44:50Z,42.12927,-82.33062,VR2W,V2LGLFC_CBG_054,V2LGLFC,V2LGLFC,2018-07-12T12:00:00Z
CBG_055-VR2W-113615-2016_06_22T13,2016-06-22T13:30:00Z,42.1315,-82.15017,VR2W,V2LGLFC_CBG_055,V2LGLFC,V2LGLFC,2016-11-01T12:53:00Z
CBG_055-VR2W-113615-2016_11_01T13,2016-11-01T13:00:00Z,42.13152,-82.15003,VR2W,V2LGLFC_CBG_055,V2LGLFC,V2LGLFC,2017-06-05T17:32:15Z
CBG_056-VR2W-119148-2018_07_03T12,2018-07-03T12:40:00Z,42.13286,-81.96756,VR2W,V2LGLFC_CBG_056,V2LGLFC,V2LGLFC,
CBG_057-VR2W-119784-2018_06_08T15,2018-06-08T15:51:00Z,42.3388,-81.78664,VR2W,V2LGLFC_CBG_057,V2LGLFC,V2LGLFC,2018-12-10T12:08:00Z
CBG_057-VR2W-119784-2018_12_10T12,2018-12-10T12:25:00Z,42.13515,-81.78673,VR2W,V2LGLFC_CBG_057,V2LGLFC,V2LGLFC,
CBG_058-VR2W-109141-2017_06_07T14,2017-06-07T14:17:52Z,42.13556,-81.60477,VR2W,V2LGLFC_CBG_058,V2LGLFC,V2LGLFC,2018-06-08T10:37:00Z
CBG_059-VR2W-110580-2017_06_07T15,2017-06-07T15:10:04Z,42.13671,-81.42416,VR2W,V2LGLFC_CBG_059,V2LGLFC,V2LGLFC,2018-06-08T11:09:00Z
CBG_059-VR2W-112413-2016_07_13T11,2016-07-13T11:00:00Z,42.1362,-81.42327,VR2W,V2LGLFC_CBG_059,V2LGLFC,V2LGLFC,2017-06-07T15:08:20Z
CBG_060-VR2W-110585-2018_07_03T12,2018-07-03T12:12:00Z,42.13705,-81.06032,VR2W,V2LGLFC_CBG_060,V2LGLFC,V2LGLFC,
CBG_060-VR2W-113055-2016_07_13T10,2016-07-13T10:18:00Z,42.1368,-81.24617,VR2W,V2LGLFC_CBG_060,V2LGLFC,V2LGLFC,2017-06-16T08:13:00Z
CBG_060-VR2W-119155-2017_06_16T08,2017-06-16T08:18:00Z,42.13725,-81.2448,VR2W,V2LGLFC_CBG_060,V2LGLFC,V2LGLFC,2018-06-07T17:00:00Z
CBG_061-VR2W-112395-2018_07_03T12,2018-07-03T12:48:00Z,42.13705,-81.06032,VR2W,V2LGLFC_CBG_061,V2LGLFC,V2LGLFC,
CBG_062-VR2W-112342-2016_07_12T10,2016-07-12T10:43:00Z,42.13717,-80.87942,VR2W,V2LGLFC_CBG_062,V2LGLFC,V2LGLFC,2017-06-16T09:17:00Z
CBG_063-VR2W-110583-2016_07_12T14,2016-07-12T14:13:00Z,42.13666,-80.69767,VR2W,V2LGLFC_CBG_063,V2LGLFC,V2LGLFC,2017-06-16T09:55:00Z
CBG_063-VR2W-110584-2017_06_16T10,2017-06-16T10:01:00Z,42.13694,-80.69753,VR2W,V2LGLFC_CBG_063,V2LGLFC,V2LGLFC,2018-06-07T12:13:00Z
CBG_064-VR2W-112476-2016_07_12T10,2016-07-12T10:32:00Z,42.13637,-80.51544,VR2W,V2LGLFC_CBG_064,V2LGLFC,V2LGLFC,2017-06-16T10:26:00Z
CBG_066-VR2W-110583-2018_06_06T17,2018-06-06T17:55:00Z,42.13395,-80.15276,VR2W,V2LGLFC_CBG_066,V2LGLFC,V2LGLFC,
CBG_067-VR2W-119152-2017_06_06T08,2017-06-06T08:52:15Z,42.26931,-81.78771,VR2W,V2LGLFC_CBG_067,V2LGLFC,V2LGLFC,2017-10-18T08:19:00Z
CBG_067-VR2W-119152-2017_10_18T08,2017-10-18T08:24:00Z,42.26962,-81.78705,VR2W,V2LGLFC_CBG_067,V2LGLFC,V2LGLFC,2018-06-08T15:26:00Z
CBG_068-VR2W-119783-2017_06_06T09,2017-06-06T09:43:12Z,42.27075,-81.60548,VR2W,V2LGLFC_CBG_068,V2LGLFC,V2LGLFC,2018-06-08T14:58:00Z
CBG_071-VR2W-110589-2017_06_08T11,2017-06-08T11:00:37Z,42.27204,-81.06092,VR2W,V2LGLFC_CBG_071,V2LGLFC,V2LGLFC,2018-06-07T16:09:00Z
CBG_071-VR2W-113058-2016_07_12T12,2016-07-12T12:14:00Z,42.27213,-81.06062,VR2W,V2LGLFC_CBG_071,V2LGLFC,V2LGLFC,2017-06-08T10:52:29Z
CBG_072-VR2W-112405-2016_07_12T11,2016-07-12T11:28:00Z,42.27238,-80.87838,VR2W,V2LGLFC_CBG_072,V2LGLFC,V2LGLFC,2017-06-08T11:45:43Z
CBG_073-VR2W-113616-2017_06_08T15,2017-06-08T15:53:07Z,42.2716,-80.69728,VR2W,V2LGLFC_CBG_073,V2LGLFC,V2LGLFC,2018-06-07T12:40:00Z
CBG_075-VR2W-119784-2017_06_09T09,2017-06-09T09:58:54Z,42.27054,-80.33273,VR2W,V2LGLFC_CBG_075,V2LGLFC,V2LGLFC,2018-06-06T12:10:00Z
CBG_079-VR2W-110595-2016_07_12T19,2016-07-12T19:07:00Z,42.40532,-81.60743,VR2W,V2LGLFC_CBG_079,V2LGLFC,V2LGLFC,2017-06-06T10:32:38Z
CBG_080-VR2W-110578-2016_07_12T18,2016-07-12T18:18:00Z,42.40657,-81.42575,VR2W,V2LGLFC_CBG_080,V2LGLFC,V2LGLFC,2017-06-06T11:21:46Z
CBG_081-VR2W-110578-2017_06_06T15,2017-06-06T15:33:37Z,42.40689,-81.24313,VR2W,V2LGLFC_CBG_081,V2LGLFC,V2LGLFC,2018-06-08T12:45:00Z
CBG_083-VR2W-113058-2017_06_08T12,2017-06-08T12:41:40Z,42.40753,-80.87949,VR2W,V2LGLFC_CBG_083,V2LGLFC,V2LGLFC,2018-06-07T13:50:00Z
CBG_084-VR2W-112341-2018_06_06T15,2018-06-06T15:24:00Z,42.40682,-80.69603,VR2W,V2LGLFC_CBG_084,V2LGLFC,V2LGLFC,
CBG_084-VR2W-112413-2017_06_08T15,2017-06-08T15:07:09Z,42.40707,-80.69618,VR2W,V2LGLFC_CBG_084,V2LGLFC,V2LGLFC,2018-06-06T15:15:00Z
CBG_085-VR2W-119780-2018_06_06T15,2018-06-06T15:54:00Z,42.40706,-80.51313,VR2W,V2LGLFC_CBG_085,V2LGLFC,V2LGLFC,
CBG_091-VR2W-110558-2016_07_12T17,2016-07-12T17:40:00Z,42.54163,-81.42593,VR2W,V2LGLFC_CBG_091,V2LGLFC,V2LGLFC,2017-06-06T12:10:39Z
CBG_091-VR2W-113055-2018_06_08T13,2018-06-08T13:50:00Z,42.5422,-81.42582,VR2W,V2LGLFC_CBG_091,V2LGLFC,V2LGLFC,
CBG_092-VR2W-119777-2017_06_06T13,2017-06-06T13:02:09Z,42.54209,-81.24361,VR2W,V2LGLFC_CBG_092,V2LGLFC,V2LGLFC,2018-06-08T13:17:00Z
CBG_093-VR2W-113615-2017_06_06T13,2017-06-06T13:49:08Z,42.54231,-81.0605,VR2W,V2LGLFC_CBG_093,V2LGLFC,V2LGLFC,2018-06-07T15:00:00Z
CBG_094-VR2W-112405-2017_06_08T13,2017-06-08T13:28:13Z,42.54237,-80.87828,VR2W,V2LGLFC_CBG_094,V2LGLFC,V2LGLFC,2018-06-07T14:20:00Z
CBG_095-VR2W-113616-2016_07_12T12,2016-07-12T12:40:00Z,42.54258,-80.69553,VR2W,V2LGLFC_CBG_095,V2LGLFC,V2LGLFC,2017-06-08T14:15:41Z
CBG_096-VR2W-110593-2016_07_12T12,2016-07-12T12:04:00Z,42.5426,-80.51244,VR2W,V2LGLFC_CBG_096,V2LGLFC,V2LGLFC,2016-10-26T10:17:00Z
CHR-001-VR2W-109909-1,2011-04-26T20:00:00Z,46.3238698,-84.23488123,VR2W,SMRSL_CHR-001,SMRSL,SMRSL,2011-08-08T19:00:00Z
CKI-001-VR2W-109450-1,2010-04-17T14:04:00Z,46.49498436,-84.26934256,VR2W,SMRSL_CKI-001,SMRSL,SMRSL,2010-04-28T12:32:00Z
CKI-001-VR2W-109450-2,2010-04-28T13:00:00Z,46.49495023,-84.26937243,VR2W,SMRSL_CKI-001,SMRSL,SMRSL,2010-06-24T18:11:00Z
CKI-001-VR2W-109450-3,2010-06-24T18:25:00Z,46.49498495,-84.26923524,VR2W,SMRSL_CKI-001,SMRSL,SMRSL,2010-07-30T19:52:00Z
CKI-001-VR2W-110004-4,2011-04-26T14:17:00Z,46.49510817,-84.26828119,VR2W,SMRSL_CKI-001,SMRSL,SMRSL,2011-08-03T13:43:00Z
